ID,NAME,TYPE,COLOR,Animals
1,AFRICAN ELEPHANT,AFRICA,#ef7735,
2,LION,AFRICA,#ef7735,
3,WHITE RHINOCEROS,AFRICA,#ef7735,
4,GIRAFFE,AFRICA,#ef7735,
5,HIPPOPOTAMUS,AFRICA,#ef7735,
6,CHEETAH,AFRICA,#ef7735,
7,PLAINS ZEBRA,AFRICA,#ef7735,
8,NILE CROCODILE,AFRICA,#ef7735,
9,MOUNTAIN GORILLA,AFRICA,#ef7735,
10,RING-TAILED LEMUR,AFRICA,#ef7735,
11,BLACK MAMBA,AFRICA,#ef7735,
12,WILDEBEEST,AFRICA,#ef7735,
13,SCIMITAR-HORNED ORYX,AFRICA,#ef7735,
14,OSTRICH,AFRICA,#ef7735,
15,SABLE ANTELOPE,AFRICA,#ef7735,
16,BENGAL TIGER,ASIA & OCEANIA,#cd5db1,
17,GIANT PANDA,ASIA & OCEANIA,#cd5db1,
18,BORNEAN ORANGUTAN,ASIA & OCEANIA,#cd5db1,
19,SUMATRAN RHINOCEROS,ASIA & OCEANIA,#cd5db1,
20,ASIAN ELEPHANT,ASIA & OCEANIA,#cd5db1,
21,BACTRIAN CAMEL,ASIA & OCEANIA,#cd5db1,
22,RED KANGAROO,ASIA & OCEANIA,#cd5db1,
23,KOALA,ASIA & OCEANIA,#cd5db1,
24,PLATYPUS,ASIA & OCEANIA,#cd5db1,
25,TASMANIAN DEVIL,ASIA & OCEANIA,#cd5db1,
26,KAKAPO,ASIA & OCEANIA,#cd5db1,
27,KOMODO DRAGON,ASIA & OCEANIA,#cd5db1,
28,DUGONG,ASIA & OCEANIA,#cd5db1,
29,CASSOWARY,ASIA & OCEANIA,#cd5db1,
30,SNOW LEOPARD,ASIA & OCEANIA,#cd5db1,
31,IBERIAN WOLF,EUROPE,#71558e,
32,BROWN BEAR,EUROPE,#71558e,
33,RED DEER,EUROPE,#71558e,
34,EURASIAN LYNX,EUROPE,#71558e,
35,IBEX,EUROPE,#71558e,
36,GOLDEN EAGLE,EUROPE,#71558e,
37,EUROPEAN BISON,EUROPE,#71558e,
38,GREY SEAL,EUROPE,#71558e,
39,MOOSE,EUROPE,#71558e,
40,GREY WOLF,EUROPE,#71558e,
41,EUROPEAN OTTER,EUROPE,#71558e,
42,ARCTIC FOX,EUROPE,#71558e,
43,POLAR BEAR,EUROPE,#71558e,
44,MOUFLON,EUROPE,#71558e,
45,EUROPEAN SARDINE,EUROPE,#71558e,
46,AMERICAN BISON,NORTH AMERICA,#bd2649,
47,BALD EAGLE,NORTH AMERICA,#bd2649,
48,AMERICAN BLACK BEAR,NORTH AMERICA,#bd2649,
49,COUGAR,NORTH AMERICA,#bd2649,
50,MEXICAN GREY WOLF,NORTH AMERICA,#bd2649,
51,NINE-BANDED ARMADILLO,NORTH AMERICA,#bd2649,
52,MOOSE,NORTH AMERICA,#bd2649,
53,RED FOX,NORTH AMERICA,#bd2649,
54,RACCOON,NORTH AMERICA,#bd2649,
55,AMERICAN ALLIGATOR,NORTH AMERICA,#bd2649,
56,CALIFORNIA CONDOR,NORTH AMERICA,#bd2649,
57,GREY SQUIRREL,NORTH AMERICA,#bd2649,
58,NORTH AMERICAN PORCUPINE,NORTH AMERICA,#bd2649,
59,AMERICAN BEAVER,NORTH AMERICA,#bd2649,
60,EASTERN DIAMONDBACK RATTLESNAKE,NORTH AMERICA,#bd2649,
61,JAGUAR,SOUTH AMERICA,#ffac14,
62,GREEN ANACONDA,SOUTH AMERICA,#ffac14,
63,CAPYBARA,SOUTH AMERICA,#ffac14,
64,SPECTACLED BEAR,SOUTH AMERICA,#ffac14,
65,RED PIRANHA,SOUTH AMERICA,#ffac14,
66,ANDEAN CONDOR,SOUTH AMERICA,#ffac14,
67,SOUTH AMERICAN TAPIR,SOUTH AMERICA,#ffac14,
68,AMAZON RIVER DOLPHIN,SOUTH AMERICA,#ffac14,
69,GIANT ARMADILLO,SOUTH AMERICA,#ffac14,
70,SPIDER MONKEY,SOUTH AMERICA,#ffac14,
71,THREE-TOED SLOTH,SOUTH AMERICA,#ffac14,
72,CHILEAN FLAMINGO,SOUTH AMERICA,#ffac14,
73,RHEA,SOUTH AMERICA,#ffac14,
74,ALPACA,SOUTH AMERICA,#ffac14,
75,BLACK CAIMAN,SOUTH AMERICA,#ffac14,
76,EMPEROR PENGUIN,ARCTIC & ANTARCTIC,#27DADD,
77,LEOPARD SEAL,ARCTIC & ANTARCTIC,#27DADD,
78,SOUTHERN GIANT PETREL,ARCTIC & ANTARCTIC,#27DADD,
79,WANDERING ALBATROSS,ARCTIC & ANTARCTIC,#27DADD,
80,ANTARCTIC BLUE WHALE,ARCTIC & ANTARCTIC,#27DADD,
81,COLOSSAL SQUID,ARCTIC & ANTARCTIC,#27DADD,
82,ANTARCTIC KRILL,ARCTIC & ANTARCTIC,#27DADD,
83,CHINSTRAP PENGUIN,ARCTIC & ANTARCTIC,#27DADD,
84,POLAR BEAR,ARCTIC & ANTARCTIC,#27DADD,
85,ANTARCTIC SUN STARFISH,ARCTIC & ANTARCTIC,#27DADD,
86,MUSKOX,ARCTIC & ANTARCTIC,#27DADD,
87,REINDEER,ARCTIC & ANTARCTIC,#27DADD,
88,ARCTIC WOLF,ARCTIC & ANTARCTIC,#27DADD,
89,ARCTIC HARE,ARCTIC & ANTARCTIC,#27DADD,
90,WALRUS,ARCTIC & ANTARCTIC,#27DADD,
91,RINGED SEAL,ARCTIC & ANTARCTIC,#27DADD,
92,NARWHAL,ARCTIC & ANTARCTIC,#27DADD,
93,BELUGA,ARCTIC & ANTARCTIC,#27DADD,
94,BOWHEAD WHALE,ARCTIC & ANTARCTIC,#27DADD,
95,SNOWY OWL,ARCTIC & ANTARCTIC,#27DADD,
96,BLACK-LEGGED KITTIWAKE,ARCTIC & ANTARCTIC,#27DADD,
97,DOG,DOMESTIC,#2DCF48
98,CAT,DOMESTIC,#2DCF48
99,HORSE,DOMESTIC,#2DCF48
100,PIGEON,DOMESTIC,#2DCF48
101,CHICKEN,DOMESTIC,#2DCF48
102,COW,DOMESTIC,#2DCF48
103,SHEEP,DOMESTIC,#2DCF48
104,GOAT,DOMESTIC,#2DCF48
105,RABBIT,DOMESTIC,#2DCF48
106,DUCK,DOMESTIC,#2DCF48
107,TURKEY,DOMESTIC,#2DCF48
108,PIG,DOMESTIC,#2DCF48
109,GOOSE,DOMESTIC,#2DCF48
110,HAMSTER,DOMESTIC,#2DCF48
111,FERRET,DOMESTIC,#2DCF48
112,GUINEA PIG,DOMESTIC,#2DCF48
113,PARROT,DOMESTIC,#2DCF48
114,CANARY,DOMESTIC,#2DCF48
115,GOLDFISH,DOMESTIC,#2DCF48