ID,NAME,TYPE,COLOR,Bandiere del Mondo
1,UNGHERIA,EUROPA,#71558e
2,ISRAELE,ASIA E OCEANIA,#cd5db1
3,AUSTRIA,EUROPA,#71558e
4,HONG KONG,ASIA E OCEANIA,#cd5db1
5,PARAGUAY,AMERICA DEL SUD,#ffac14
6,DANIMARCA,EUROPA,#71558e
7,FINLANDIA,EUROPA,#71558e
8,PALESTINA,ASIA E OCEANIA,#cd5db1
9,NUOVA ZELANDA,ASIA E OCEANIA,#cd5db1
10,CROAZIA,EUROPA,#71558e
11,IRLANDA,EUROPA,#71558e
12,NORVEGIA,EUROPA,#71558e
13,SINGAPORE,ASIA E OCEANIA,#cd5db1
14,EMIRATI ARABI UNITI,ASIA E OCEANIA,#cd5db1
15,GAMAICA,AMERICA DEL NORD,#bd2649
16,RUSSIA,ASIA E OCEANIA,#cd5db1
17,TURCHIA,ASIA E OCEANIA,#cd5db1
18,SPAGNA,EUROPA,#71558e
19,CINA,ASIA E OCEANIA,#cd5db1
20,INDIA,ASIA E OCEANIA,#cd5db1
21,STATI UNITI,AMERICA DEL NORD,#bd2649
22,BRASILE,AMERICA DEL SUD,#ffac14
23,MESSICO,AMERICA DEL NORD,#bd2649
24,GIAPPONE,ASIA E OCEANIA,#cd5db1
25,REGNO UNITO,EUROPA,#71558e
26,FRANCIA,EUROPA,#71558e
27,ITALIA,EUROPA,#71558e
28,SUD AFRICA,AFRICA,#ef7735
29,COREA DEL SUD,ASIA E OCEANIA,#cd5db1
30,GERMANIA,EUROPA,#71558e
31,COLOMBIA,AMERICA DEL SUD,#ffac14
32,EGITTO,AFRICA,#ef7735
33,ARGENTINA,AMERICA DEL SUD,#ffac14
34,UCRAINA,EUROPA,#71558e
35,CANADA,AMERICA DEL NORD,#bd2649
36,VENEZUELA,AMERICA DEL SUD,#ffac14
37,PER̪,AMERICA DEL SUD,#ffac14
38,EL SALVADOR,AMERICA DEL NORD,#bd2649
39,AUSTRALIA,ASIA E OCEANIA,#cd5db1
40,NIGER,AFRICA,#ef7735
41,ECUADOR,AMERICA DEL SUD,#ffac14
42,CILE,AMERICA DEL SUD,#ffac14
43,BELGIO,EUROPA,#71558e
44,CIAD,AFRICA,#ef7735
45,CUBA,AMERICA DEL NORD,#bd2649
46,BOLIVIA,AMERICA DEL SUD,#ffac14
47,GRECIA,EUROPA,#71558e
48,PORTOGALLO,EUROPA,#71558e
49,SVEZIA,EUROPA,#71558e
50,SVIZZERA,EUROPA,#71558e
51,PAESI BASSI,EUROPA,#71558e
52,MAROCCO,AFRICA,#ef7735
53,SUDAN,AFRICA,#ef7735
54,SOMALIA,AFRICA,#ef7735
55,SIERRA LEONE,AFRICA,#ef7735
56,TUNISIA,AFRICA,#ef7735
57,ZIMBABWE,AFRICA,#ef7735
58,SENEGAL,AFRICA,#ef7735
59,UGANDA,AFRICA,#ef7735
60,ANGOLA,AFRICA,#ef7735
61,ALGERIA,AFRICA,#ef7735
62,CAMERUN,AFRICA,#ef7735
63,BURKINA FASO,AFRICA,#ef7735
64,BOTSWANA,AFRICA,#ef7735
65,GHANA,AFRICA,#ef7735
66,GUINEA,AFRICA,#ef7735
67,COSTA D'AVORIO,AFRICA,#ef7735
68,KENIA,AFRICA,#ef7735
69,ETIOPIA,AFRICA,#ef7735
70,MADAGASCAR,AFRICA,#ef7735
71,HONDURAS,AMERICA DEL NORD,#bd2649
72,GUATEMALA,AMERICA DEL NORD,#bd2649
73,PORTO RICO,AMERICA DEL NORD,#bd2649
74,NICARAGUA,AMERICA DEL NORD,#bd2650
75,COSTA RICA,AMERICA DEL NORD,#bd2651
76,BARBADE,AMERICA DEL NORD,#bd2652
77,ANTIGUA E BARBUDA,AMERICA DEL NORD,#bd2653
78,ARUBA,AMERICA DEL NORD,#bd2654
79,BAHAMAS,AMERICA DEL NORD,#bd2655
80,HAITI,AMERICA DEL NORD,#bd2656
81,GUYANA,AMERICA DEL SUD,#ffac14
82,REPUBBLICA DOMINICANA,AMERICA DEL SUD,#ffac14
83,PANAMA,AMERICA DEL SUD,#ffac14
84,SAINT VINCENT E GRENADINE,AMERICA DEL SUD,#ffac14
85,SAINT LUCIA,AMERICA DEL SUD,#ffac14
86,SURINAME,AMERICA DEL SUD,#ffac14
87,TRINIDAD E TOBAGO,AMERICA DEL SUD,#ffac14
88,URUGUAY,AMERICA DEL SUD,#ffac14
